dm	rq	open	high	low	close	vol	amount	closey
SFIF0001	2010/4/16	3450	3488	3413.2	3415.6	4898800	50538807296	0
SFIF0001	2010/4/19	3396	3398	3166.2	3197.4	10973300	108206415872	3415.6
SFIF0001	2010/4/20	3209.2	3240	3168.8	3214.6	14186200	136342093824	3197.4
SFIF0001	2010/4/21	3215	3281.2	3208	3267.2	11453100	111267897344	3214.6
SFIF0001	2010/4/22	3260.2	3274.4	3211	3236.2	13324700	129629806592	3267.2
SFIF0001	2010/4/23	3241	3266	3221	3221.2	11698100	113886814208	3236.2
SFIF0001	2010/4/26	3243	3252	3211.8	3219.6	11222900	108949725184	3221.2
SFIF0001	2010/4/27	3201.2	3205	3107.6	3138.8	13996100	132007157760	3219.6
SFIF0001	2010/4/28	3101.6	3142.6	3094.2	3129	12853000	120470298624	3138.8
SFIF0001	2010/4/29	3141	3157.6	3082.2	3083.8	11625400	109415653376	3129
SFIF0001	2010/4/30	3103	3119.6	3043	3107	18415700	170310303744	3083.8
SFIF0001	2010/5/4	3079.8	3094.4	3060.8	3076.4	15012300	138591338496	3107
SFIF0001	2010/5/5	3046.4	3087	3031	3076.4	14554200	133493194752	3076.4
SFIF0001	2010/5/6	3078.6	3083.4	2953.6	2967.4	17022100	154506805248	3076.4
SFIF0001	2010/5/7	2928	2959.8	2862.2	2897.6	24010600	209597906944	2967.4
SFIF0001	2010/5/10	2910	2931	2870	2918	20191900	175917203456	2897.6
SFIF0001	2010/5/11	2949	2957.8	2797.2	2801.6	22462600	194325118976	2918
SFIF0001	2010/5/12	2809	2855	2782	2836.2	27313100	231214055424	2801.6
SFIF0001	2010/5/13	2847.8	2915.6	2823	2894.6	21742200	186684129280	2836.2
SFIF0001	2010/5/14	2880	2894.8	2850.4	2862.6	18545300	159865831424	2894.6
SFIF0001	2010/5/17	2840	2840.2	2708	2719	11762500	97865072640	2862.6
SFIF0001	2010/5/18	2717	2808	2703	2779	4029800	33122066432	2719
SFIF0001	2010/5/19	2762.2	2808.8	2722.6	2763.4	1491300	12382801920	2779
SFIF0001	2010/5/20	2770.4	2820	2713.6	2735	712500	5908115968	2763.4
SFIF0001	2010/5/21	2694.8	2751.6	2661	2749.8	376500	3069376256	2735
SFIF0001	2010/5/24	2814	2933.4	2808	2902	30051200	260913840128	2749.8
SFIF0001	2010/5/25	2880	2889.2	2811	2813.2	28892700	247386079232	2902
SFIF0001	2010/5/26	2846.2	2878.8	2817.6	2839.6	32624600	278374416384	2813.2
SFIF0001	2010/5/27	2825	2909.8	2790	2901.4	32550000	277922283520	2839.6
SFIF0001	2010/5/28	2930	2942	2853	2865.2	30669000	266372939776	2901.4
SFIF0001	2010/5/31	2850	2898.8	2786.2	2792	33767800	288432455680	2865.2
SFIF0001	2010/6/1	2780	2820.6	2732	2762	42013000	349613424640	2792
SFIF0001	2010/6/2	2758	2781.4	2718.2	2776.4	34392300	284048064512	2762
SFIF0001	2010/6/3	2799.8	2807	2741	2748	34296100	285871079424	2776.4
SFIF0001	2010/6/4	2740	2767.8	2722.2	2761	32438700	267206426624	2748
SFIF0001	2010/6/7	2700	2718	2680	2706.2	28968100	234726768640	2761
SFIF0001	2010/6/8	2709.8	2726	2683	2724.4	22508700	182970957824	2706.2
SFIF0001	2010/6/9	2720.4	2808	2700.4	2788.8	31455900	258644967424	2724.4
SFIF0001	2010/6/10	2776	2791	2763	2769.6	23263000	193539407872	2788.8
SFIF0001	2010/6/11	2788	2796.8	2765	2765.8	16957500	141499449344	2769.6
SFIF0001	2010/6/17	2779	2784.4	2743	2744.2	2994900	24881301504	2765.8
SFIF0001	2010/6/18	2743	2756	2712	2716.8	1491900	12244629504	2744.2
SFIF0001	2010/6/21	2749.2	2816.6	2718	2804.8	27798900	230887604224	2716.8
SFIF0001	2010/6/22	2795.6	2815	2793.2	2797.6	22083100	185624412160	2804.8
SFIF0001	2010/6/23	2785	2801.6	2743	2765.2	23831600	198109233152	2797.6
SFIF0001	2010/6/24	2771	2810	2750	2771	29794900	247888101376	2765.2
SFIF0001	2010/6/25	2759	2772.8	2736	2753.8	24965400	206254407680	2771
SFIF0001	2010/6/28	2751.6	2763.8	2731.4	2741.6	21054100	173555564544	2753.8
SFIF0001	2010/6/29	2741.6	2746.8	2598.4	2600.4	29858500	238816509952	2741.6
SFIF0001	2010/6/30	2580	2593	2563	2579	24775300	191603245056	2600.4
SFIF0001	2010/7/1	2577.8	2584.6	2535.6	2545.2	24392200	187585069056	2579
SFIF0001	2010/7/2	2550	2565	2478.8	2546	36785800	278952017920	2545.2
SFIF0001	2010/7/5	2535	2549.6	2479.6	2530.6	35935100	271062941696	2546
SFIF0001	2010/7/6	2521.4	2585	2511.2	2564.6	36568000	280310939648	2530.6
SFIF0001	2010/7/7	2558	2582	2546.2	2568.4	31813500	244524810240	2564.6
SFIF0001	2010/7/8	2591	2599.4	2562	2569	25495100	197178507264	2568.4
SFIF0001	2010/7/9	2573.2	2668	2563	2650	32771300	257431420928	2569
SFIF0001	2010/7/12	2652	2693	2647.2	2660.6	28926800	231451426816	2650
SFIF0001	2010/7/13	2651	2653	2618.6	2626	26962700	212904558592	2660.6
SFIF0001	2010/7/14	2640	2679.2	2630	2647	20993000	167221264384	2626
SFIF0001	2010/7/15	2643	2695	2601.2	2604	7904700	62891630592	2647
SFIF0001	2010/7/16	2607.4	2612.8	2575.8	2596	1514200	11782977536	2604
SFIF0001	2010/7/19	2600.2	2715.2	2593.6	2697.6	37996600	301743374336	2596
SFIF0001	2010/7/20	2702	2761	2700.4	2746	39097900	320947650560	2697.6
SFIF0001	2010/7/21	2749	2758.4	2733.8	2744.4	30812500	253796057088	2746
SFIF0001	2010/7/22	2740	2785.6	2736.2	2784.4	38599100	319941705728	2744.4
SFIF0001	2010/7/23	2790	2800.8	2765.2	2783.6	32650800	272741826560	2784.4
SFIF0001	2010/7/26	2792	2803.2	2769.2	2796.8	29535100	247139336192	2783.6
SFIF0001	2010/7/27	2797.8	2799.8	2773.6	2778	29811800	248995315712	2796.8
SFIF0001	2010/7/28	2780.2	2888.6	2775.2	2887.4	35430700	301227212800	2778
SFIF0001	2010/7/29	2888	2896	2862.8	2876.8	27423000	237012353024	2887.4
SFIF0001	2010/7/30	2873	2880.6	2855.2	2871.4	24164500	207849586688	2876.8
SFIF0001	2010/8/2	2888.2	2950.8	2880.2	2926.4	28842000	252509077504	2871.4
SFIF0001	2010/8/3	2928	2935	2849	2856.8	32200000	280584028160	2926.4
SFIF0001	2010/8/4	2859.8	2892	2835	2873.8	38273900	329146171392	2856.8
